Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Reversing,Crossing from driver's nearside,Changing lane to the right,Slight Injury,6
Wednesday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,Other,Not a Pedestrian,No priority to pedestrian,Slight Injury,6
Saturday,Unknown,Male,High school,Employee,Unknown,Automobile,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Turnover,Not a Pedestrian,No priority to vehicle,Serious Injury,19
Wednesday,Over 51,Male,Junior high school,Owner,1-2yr,Other,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,12
Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Turnover,Slight Injury,12
Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Rollover,2,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,12
Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Taxi,Owner,5-10yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,12
Friday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,16
Friday,31-50,Male,Junior high school,Employee,2-5yr,Taxi,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,16
Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Governmental,Below 1yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,18
Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Unknown,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18
Saturday,Unknown,Male,Elementary school,Employee,2-5yr,Other,Owner,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,19
Friday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Other,Not a Pedestrian,Moving Backward,Slight Injury,5
Thursday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,21
Thursday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,8
Thursday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,8
Thursday,Unknown,Female,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,8
Wednesday,Unknown,Male,High school,Employee,Above 10yr,Other,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Moving Backward,Not a Pedestrian,Driving carelessly,Serious Injury,3
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Above 10yr,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Changing lane to the right,Slight Injury,4
Saturday,31-50,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Owner,5-10yrs,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,4
Saturday,31-50,Male,Elementary school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Reversing,Not a Pedestrian,Driving carelessly,Slight Injury,4
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury,4
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Changing lane to the right,Slight Injury,6
Saturday,31-50,Male,Unknown,Unknown,Unknown,Public (13?45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,No distancing,Slight Injury,6
Sunday,18-30,Male,Elementary school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,Other,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Other,Slight Injury,20
Friday,31-50,Male,High school,Other,Above 10yr,Public (13?45 seats),Organization,Above 10yr,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Stopping,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury,19
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Other,Not a Pedestrian,Changing lane to the right,Serious Injury,11
Friday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Not a Pedestrian,Overtaking,Serious Injury,11
Friday,31-50,Male,High school,Owner,Unknown,Lorry (41?100Q),Owner,Above 10yr,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Other,Not a Pedestrian,Other,Serious Injury,12
Friday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,Unknown,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,16
Friday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Unknown,2-5yrs,Unknown, Hospital areas,One way,Unknown,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury,19
Friday,Over 51,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,Unknown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,19
Thursday,18-30,Unknown,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,7
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Unknown,Wet or damp,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Other,Slight Injury,7
Monday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,20
Monday,18-30,Male,Above high school,Employee,1-2yr,Other,Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury,20
Monday,31-50,Male,Elementary school,Employee,Above 10yr,Unknown,Owner,Unknown,Unknown,Residential areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,11
Monday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,11
Monday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,11
Monday,18-30,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Governmental,Unknown,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,11
Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Reversing,Not a Pedestrian,Changing lane to the left,Slight Injury,18
Monday,18-30,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,18
Monday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Other,Not a Pedestrian,Driving at high speed,Slight Injury,16
Monday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Unknown,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury,16
Monday,18-30,Male,Above high school,Employee,5-10yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Getting off,Not a Pedestrian,No distancing,Slight Injury,17
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Other,Slight Injury,17
Monday,Over 51,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,15
Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the right,Slight Injury,17
Tuesday,18-30,Male,Unknown,Unknown,Unknown,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Other,Slight Injury,7
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Turnover,Not a Pedestrian,No distancing,Slight Injury,7
Tuesday,31-50,Male,Junior high school,Employee,Unknown,Lorry (41?100Q),Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Entering a junction,Not a Pedestrian,Driving carelessly,Slight Injury,10
Wednesday,18-30,Male,Junior high school,Employee,Unknown,Unknown,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Entering a junction,Not a Pedestrian,No distancing,Slight Injury,7
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,Entering a junction,Not a Pedestrian,Moving Backward,Slight Injury,7
